"month","pay_value","percent_last_month","cnt_order","mean_payy"
2016-10-01,46566.72,,265,165.13
2016-12-01,19.62,-99.96,1,19.62
2017-01-01,127545.73,649980.13,750,159.63
2017-02-01,271298.6,112.71,1653,155.12
2017-03-01,414369.88,52.74,2546,153.47
2017-04-01,390952.47,-5.65,2303,160.49
2017-05-01,567066.3,45.05,3546,149.74
2017-06-01,490225.6,-13.55,3135,147.53
2017-07-01,566402.56,15.54,3872,136.58
2017-08-01,645998.25,14.05,4193,147.05
2017-09-01,701167.9,8.54,4150,160.41
2017-10-01,751136.9,7.13,4478,159.89
2017-11-01,1153523.8,53.57,7289,151.92
2017-12-01,843198.25,-26.90,5513,147.18
2018-01-01,1078603.2,27.92,7069,146.73
2018-02-01,966508.44,-10.39,6555,142.64
2018-03-01,1120678.6,15.95,7003,153.58
2018-04-01,1132933.5,1.09,6798,160.31
2018-05-01,1128836.2,-0.36,6749,161.22
2018-06-01,1012091.3,-10.34,6099,159.38
2018-07-01,1027904.94,1.56,6159,161.37
2018-08-01,985414.4,-4.13,6351,150.79
