"product_category_name","gmv","cnt_review","review_score"
moveis_escritorio,440414.00,2726,3.46
"",281740.00,2504,3.79
audio,76455.50,566,3.82
casa_conforto,88856.40,680,3.83
moveis_decoracao,1136250.00,12902,3.89
cama_mesa_banho,1634520.00,17470,3.90
moveis_sala,103659.00,776,3.91
casa_construcao,131991.00,958,3.93
informatica_acessorios,1453670.00,12328,3.94
bebidas,29581.40,572,3.94
telefonia,505878.00,7070,3.96
relogios_presentes,1877180.00,9488,4.00
bebes,657505.00,4840,4.00
ferramentas_jardim,741106.00,6754,4.02
eletronicos,250788.00,4328,4.02
automotivo,930981.00,6670,4.05
consoles_games,246014.00,1804,4.05
construcao_ferramentas_construcao,230321.00,1464,4.05
utilidades_domesticas,998924.00,10920,4.06
esporte_lazer,1532030.00,13464,4.11
instrumentos_musicais,308967.00,1108,4.11
cool_stuff,980397.00,5940,4.13
fashion_bolsas_e_acessorios,234054.00,3216,4.13
beleza_saude,1980590.00,15202,4.14
perfumaria,633221.00,5394,4.15
brinquedos,752268.00,6434,4.16
eletroportateis,307024.00,1088,4.18
eletrodomesticos,138167.00,1262,4.20
papelaria,361382.00,3916,4.22
pet_shop,329728.00,3030,4.23
alimentos,43002.20,748,4.26
malas_acessorios,224742.00,1710,4.33
livros_interesse_geral,78050.40,870,4.48
