"product_category_name","gmv","cnt_order","ratting"
seguros_e_servicos,566.58,2,2.50
fraldas_higiene,2227.18,19,2.96
pc_gamer,3351.88,8,3.10
portateis_cozinha_e_preparadores_de_alimentos,6831.34,12,3.50
moveis_escritorio,461520.60,1005,3.51
casa_conforto_2,1003.16,21,3.54
telefonia_fixa,105147.08,164,3.60
fashion_roupa_masculina,16163.48,83,3.64
fashion_roupa_feminina,4775.96,34,3.68
"",297309.12,1124,3.80
audio,78939.62,270,3.85
construcao_ferramentas_seguranca,72040.24,138,3.85
moveis_colchao_e_estofado,8544.16,32,3.86
cama_mesa_banho,1719183.92,7350,3.88
moveis_decoracao,1195326.74,4968,3.90
casa_conforto,99982.38,306,3.92
artigos_de_festas,8268.76,33,3.92
moveis_sala,106217.16,322,3.93
bebidas,30407.06,224,3.93
casa_construcao,136082.62,386,3.94
informatica_acessorios,1503254.92,5232,3.95
moveis_cozinha_area_de_servico_jantar_e_jardim,77187.66,197,3.95
telefonia,534016.86,3260,3.96
artes,40002.64,152,3.98
fashion_underwear_e_moda_praia,14273.00,88,3.98
bebes,698557.52,2263,3.99
market_place,47163.28,225,3.99
relogios_presentes,1959385.74,4443,4.00
ferramentas_jardim,799296.72,2735,4.00
la_cuisine,3854.00,11,4.00
industria_comercio_e_negocios,65765.90,189,4.01
eletronicos,260134.08,1995,4.03
climatizacao,93423.40,201,4.03
tablets_impressao_imagem,9256.10,54,4.03
automotivo,963039.00,3063,4.04
consoles_games,260875.34,841,4.04
sinalizacao_e_seguranca,33366.98,110,4.04
utilidades_domesticas,1052877.24,4572,4.06
artigos_de_natal,13406.22,101,4.06
construcao_ferramentas_construcao,236278.62,593,4.07
fashion_esporte,3188.24,20,4.09
esporte_lazer,1587882.08,5957,4.11
instrumentos_musicais,341150.04,510,4.11
fashion_bolsas_e_acessorios,249725.14,1461,4.11
construcao_ferramentas_iluminacao,64295.10,183,4.11
dvds_blu_ray,12383.52,51,4.11
perfumaria,655474.78,2484,4.12
beleza_saude,2039973.42,6922,4.13
cool_stuff,1022630.06,2838,4.13
eletrodomesticos_2,202740.36,190,4.15
musica,10985.20,32,4.15
brinquedos,777354.56,3031,4.16
agro_industria_e_comercio,139943.50,141,4.16
eletroportateis,321895.22,502,4.18
cine_foto,11018.24,55,4.20
papelaria,373815.78,1798,4.21
eletrodomesticos,142167.14,600,4.21
fashion_calcados,37746.12,181,4.22
construcao_ferramentas_jardim,45981.88,162,4.23
pcs,371819.44,143,4.24
pet_shop,341129.70,1332,4.24
flores,1623.50,22,4.25
alimentos,44414.52,337,4.27
alimentos_bebidas,27242.12,175,4.29
construcao_ferramentas_ferramentas,23253.22,72,4.29
artes_e_artesanato,2582.52,16,4.31
moveis_quarto,31905.58,75,4.32
malas_acessorios,236772.00,813,4.34
portateis_casa_forno_e_cafe,76938.62,59,4.35
livros_tecnicos,29974.38,198,4.38
livros_importados,8876.00,46,4.43
fashion_roupa_infanto_juvenil,959.72,7,4.43
livros_interesse_geral,80492.84,404,4.46
cds_dvds_musicais,880.00,8,4.75
