"month","gmv","percent_at_last_month","cnt_order"
2016-09-01,252.23999,,3
2016-10-01,59090.48,23326.29,324
2016-12-01,19.62,-99.97,1
2017-01-01,138488.1,705751.61,800
2017-02-01,291907.78,110.78,1780
2017-03-01,449864.12,54.11,2682
2017-04-01,417788.16,-7.13,2404
2017-05-01,592918.0,41.92,3700
2017-06-01,511276.1,-13.77,3245
2017-07-01,592381.44,15.86,4026
2017-08-01,674393.2,13.84,4331
2017-09-01,727760.25,7.91,4285
2017-10-01,779674.1,7.13,4631
2017-11-01,1194878.4,53.25,7544
2017-12-01,878400.4,-26.49,5673
2018-01-01,1114999.9,26.94,7269
2018-02-01,992460.3,-10.99,6728
2018-03-01,1159653.1,16.85,7211
2018-04-01,1160783.1,0.10,6939
2018-05-01,1153982.6,-0.59,6873
2018-06-01,1023881.1,-11.27,6167
2018-07-01,1066542.1,4.17,6292
2018-08-01,1022425.6,-4.14,6512
2018-09-01,4439.54,-99.57,16
2018-10-01,589.67004,-86.72,4
